word,count
research,1157
throwing,1156
aroma,1152
understand,1151
exactly,1151
coffees,1149
adding,1147
teeth,1146
aren,1142
stevia,1139
mountain,1139
raw,1138
packaged,1137
normally,1134
fish,1133
compared,1128
99,1126
sticks,1126
decaf,1123
spice,1122
seeds,1122
super,1120
daughter,1119
trash,1118
packets,1113
sale,1109
flavoring,1108
spicy,1106
paper,1104
clear,1101
acid,1099
drinks,1097
information,1095
ball,1094
cardboard,1093
pasta,1092
happened,1089
number,1088
stop,1084
reviewers,1083
decent,1079
course,1079
brewed,1078
nearly,1078
leave,1077
turned,1076
sort,1075
diarrhea,1073
16,1073
barely,1073
hate,1071
special,1060
taking,1059
11,1057
breakfast,1055
strange,1048
note,1046
imagine,1045
25,1042
oh,1039
easily,1037
eats,1037
gets,1036
lots,1036
crackers,1034
clean,1032
dont,1030
consistency,1028
caramel,1028
burnt,1028
likes,1028
chewy,1026
receive,1025
value,1022
glass,1012
positive,1011
stopped,1009
seen,1005
body,1004
haven,1000
particular,998
notice,996
pure,995
surprised,994
salmon,993
wife,992
live,991
sitting,985
mean,982
bone,982
yuck,978
asked,977
known,975
short,974
person,972
content,971
night,969
chip,965
overall,965
including,963
medium,957
yellow,954
excellent,953
means,953
grams,952
tasteless,949
friend,947
perfect,946
manufacturer,945
result,941
stock,940
site,939
unpleasant,938
hand,935
pop,932
enjoyed,932
alternative,932
returned,931
espresso,931
results,929
followed,926
zero,926
hint,925
licorice,922
dented,921
highly,917
needed,916
rancid,913
chewing,913
msg,912
goes,910
wonder,910
brewing,910
reviewer,909
pumpkin,909
vitamin,903
cooked,902
outside,902
friends,902
rating,902
premium,901
selling,900
vinegar,896
extract,895
dollars,895
issues,892
sealed,890
odd,890
update,887
fed,886
grounds,886
caffeine,885
works,882
servings,881
opening,880
clearly,879
figure,879
cooking,878
shame,876
larger,874
crunchy,873
puppy,873
packet,872
lost,871
control,870
run,869
calorie,865
difficult,860
kettle,857
putting,856
directions,856
seriously,855
consider,854
truly,851
wet,851
percent,851
realize,850
ounces,849
watery,847
