word,coef
downside,4.684344901579498
unique,4.844181624043913
easier,4.847889410813762
wasn sure,4.865824011895052
satisfied,4.9595183456344305
beautiful,4.9599227308787555
complaint,4.98067753240196
bit,5.0000134265548395
terrific,5.083551089170214
pleasantly surprised,5.101295085049143
loved,5.187165428890538
worried,5.210353699015144
works,5.283551031993322
yum,5.405831477817058
perfectly,5.448309807763657
highly,5.482867360503785
helps,5.491634485200491
tasty,5.536429409491928
easy,5.673701563047762
pleasantly,5.775217369638536
keeps,5.8345373578566
favorites,5.884658138525261
addicted,5.914414183561618
happy,5.95778096072255
skeptical,5.971148745339309
glad,6.005749196534739
beat,6.203476874835498
thank,6.488014067340395
nice,6.538683183753857
refreshing,6.583592881661605
favorite,6.810959379316083
pleased,6.850676163382416
just right,6.975244089803083
smooth,7.04346444854006
good,7.341166155161164
fantastic,7.408840906458426
highly recommend,7.4816328192108035
hooked,7.709456600477171
yummy,7.716416501249491
won disappointed,8.06695288459722
wonderful,8.102410330314546
love,8.323973506054978
amazing,8.689247990041276
awesome,9.07254127754674
excellent,9.304785743155344
loves,9.426243947806702
perfect,10.894717095120363
best,11.987858303897497
delicious,12.39274019546463
great,13.703665737116538
