Model,Accuracy,Precision (neg),Recall (neg),F1 (neg)
LogisticRegression,0.9427079866492968,0.8834392081548235,0.7289571524349363,0.7987977959592586
MultinomialNB,0.9103391877371318,0.8945939832617055,0.48211129395989516,0.6265594677016911
LinearSVC,0.9500584806443331,0.8696401351978262,0.7997805814591333,0.833248666497333
